                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                0.78681,                0.73201,                0.80732,                0.51403,                0.51947,                0.49617,                0.42332,                0.55785,                 1.3045,                0.67388,               0.007228,               0.007228,               0.007228
                     31,                0.78691,                0.72836,                0.80524,                0.51918,                0.51641,                 0.4976,                0.42504,                 0.5553,                 1.3064,                0.67215,               0.007129,               0.007129,               0.007129
                     32,                 0.7832,                0.72663,                0.80427,                 0.4995,                0.52674,                0.49762,                0.42537,                0.55336,                 1.3074,                0.67053,                0.00703,                0.00703,                0.00703
                     33,                0.78069,                 0.7249,                0.80392,                  0.486,                0.53099,                0.49764,                0.42593,                0.55152,                 1.3107,                0.66904,               0.006931,               0.006931,               0.006931
                     34,                0.78026,                 0.7213,                0.80034,                0.49127,                0.51527,                0.49846,                0.42697,                0.54942,                 1.3093,                0.66744,               0.006832,               0.006832,               0.006832
                     35,                0.77901,                0.71827,                0.79924,                0.48058,                0.53379,                0.49962,                0.42817,                0.54785,                 1.3094,                0.66617,               0.006733,               0.006733,               0.006733
                     36,                0.77698,                0.71489,                0.79803,                0.48217,                0.53422,                0.49926,                0.42847,                0.54601,                 1.3091,                0.66492,               0.006634,               0.006634,               0.006634
                     37,                0.77674,                0.71358,                0.79565,                0.47887,                0.53985,                0.50072,                0.42969,                0.54481,                 1.3095,                 0.6637,               0.006535,               0.006535,               0.006535
                     38,                0.77265,                0.70943,                0.79468,                0.48631,                0.52316,                0.50136,                0.43052,                 0.5434,                  1.312,                0.66265,               0.006436,               0.006436,               0.006436
                     39,                0.77201,                0.70522,                0.79107,                0.48958,                0.52471,                0.50158,                0.43079,                0.54184,                 1.3142,                0.66124,               0.006337,               0.006337,               0.006337
                     40,                0.77137,                  0.703,                0.78923,                0.48479,                0.52871,                0.50256,                0.43214,                0.54109,                 1.3173,                0.65999,               0.006238,               0.006238,               0.006238
                     41,                0.77114,                0.70126,                0.78957,                0.46411,                 0.5492,                0.50382,                 0.4336,                0.54019,                 1.3184,                0.65891,               0.006139,               0.006139,               0.006139
                     42,                0.76782,                0.69932,                0.78872,                0.46081,                0.55637,                 0.5047,                0.43418,                0.53914,                 1.3181,                0.65817,                0.00604,                0.00604,                0.00604
                     43,                0.76762,                0.69731,                0.78711,                0.46228,                0.54964,                0.50469,                0.43458,                 0.5379,                 1.3198,                0.65735,               0.005941,               0.005941,               0.005941
                     44,                 0.7652,                0.69585,                0.78636,                0.46052,                 0.5616,                0.50429,                0.43438,                0.53633,                 1.3206,                 0.6565,               0.005842,               0.005842,               0.005842
                     45,                0.76556,                0.69201,                0.78576,                0.47244,                0.55541,                0.50508,                0.43506,                0.53562,                 1.3215,                0.65561,               0.005743,               0.005743,               0.005743
                     46,                0.76217,                0.68919,                0.78127,                0.46364,                0.55618,                0.50539,                0.43539,                0.53455,                 1.3209,                0.65431,               0.005644,               0.005644,               0.005644
                     47,                0.76105,                0.68984,                0.78402,                0.46671,                0.55845,                0.50529,                0.43567,                0.53333,                 1.3205,                0.65366,               0.005545,               0.005545,               0.005545
                     48,                0.75952,                0.68464,                0.78092,                0.46197,                0.55765,                0.50605,                 0.4365,                0.53249,                 1.3181,                0.65302,               0.005446,               0.005446,               0.005446
                     49,                0.75664,                0.68222,                0.78023,                0.46614,                 0.5535,                 0.5051,                0.43576,                0.53192,                  1.319,                0.65251,               0.005347,               0.005347,               0.005347
                     50,                0.75554,                0.67888,                0.78023,                0.47261,                0.55559,                0.50633,                 0.4371,                0.53087,                 1.3189,                0.65189,               0.005248,               0.005248,               0.005248
